rxn,p(gender),p(genotype),p(diet),"p(gender,genotype)","p(gender,diet)","p(genotype,diet)","p(gender,genotype,diet)"
EX_leuproarg_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_leusertrp_e_b,1.0,0.5690799951675936,0.9203094432489956,0.5690799951675936,0.7808037458582777,0.5657525728113453,0.9203094432489943
EX_leusertrp_e_f,1.0,0.5690799951675936,0.9203094432489956,0.5690799951675936,0.7808037458582777,0.5657525728113453,0.9203094432489943
EX_leutrp_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_leutrp_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_leutrparg_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_leutrparg_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_leutyrtyr_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_leutyrtyr_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_leuval_e_b,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_leuval_e_f,0.7656216422080331,0.3747030894298671,0.6989084222869928,0.3747030894298654,0.6989084222869888,0.3519956280141369,1.0
EX_lgnc_e_b,0.6867108682606142,0.6867108682606142,0.5226691292146851,0.2325569806033025,0.5226691292146837,0.08999075415449814,1.0
EX_lgnc_e_f,0.6867108682606142,0.6867108682606142,0.5226691292146851,0.2325569806033025,0.5226691292146837,0.08999075415449814,1.0
EX_Lhcystin_e_b,0.0898130810840369,0.2994022088626377,0.88306767037217,0.2994022088626377,0.88306767037217,0.09311603084831556,0.34117971936370606
EX_Lhcystin_e_f,0.0898130810840369,0.2994022088626377,0.88306767037217,0.2994022088626377,0.88306767037217,0.09311603084831556,0.34117971936370606
EX_Lkynr_e_b,0.4863098499127342,0.4863098499127342,0.24331547469229928,0.044417423291024015,0.04636546017878198,0.046365460178781896,0.2433154746922982
EX_Lkynr_e_f,0.4863098499127342,0.4863098499127342,0.24331547469229928,0.044417423291024015,0.04636546017878198,0.046365460178781896,0.2433154746922982
EX_lneldc_e_b,0.37997591288224897,0.37997591288224897,0.18690715018666698,0.37997591288224897,0.8200814425978189,0.095047496694672,0.8200814425978156
EX_lneldc_e_f,0.37997591288224897,0.37997591288224897,0.18690715018666698,0.37997591288224897,0.8200814425978189,0.095047496694672,0.8200814425978156
EX_lnlc_e_b,0.6867108682606142,0.6867108682606142,0.5226691292146851,0.2325569806033025,0.5226691292146837,0.08999075415449814,1.0
EX_lnlc_e_f,0.6867108682606142,0.6867108682606142,0.5226691292146851,0.2325569806033025,0.5226691292146837,0.08999075415449814,1.0
EX_lnlnca_e_b,0.6867108682606142,0.6867108682606142,0.5226691292146851,0.2325569806033025,0.5226691292146837,0.08999075415449814,1.0
EX_lnlnca_e_f,0.6867108682606142,0.6867108682606142,0.5226691292146851,0.2325569806033025,0.5226691292146837,0.08999075415449814,1.0
EX_lnlncg_e_b,0.6867108682606142,0.6867108682606142,0.5226691292146851,0.2325569806033025,0.5226691292146837,0.08999075415449814,1.0
EX_lnlncg_e_f,0.6867108682606142,0.6867108682606142,0.5226691292146851,0.2325569806033025,0.5226691292146837,0.08999075415449814,1.0
EX_lpchol_hs_e_b,0.569079995167592,0.5690799951675936,1.0,0.569079995167592,0.2824295364810005,0.2824295364810005,0.28242953648099967
EX_lpchol_hs_e_f,0.569079995167592,0.5690799951675936,1.0,0.569079995167592,0.2824295364810005,0.2824295364810005,0.28242953648099967
EX_Lpipecol_e_b,0.1466556460682006,0.1466556460682006,0.19522821099709706,0.6216287223139874,0.4831174622668156,0.4831174622668156,0.19522821099709825
EX_Lpipecol_e_f,0.1466556460682006,0.1466556460682006,0.19522821099709706,0.6216287223139874,0.4831174622668156,0.4831174622668156,0.19522821099709825
